answer_id,answer_slug,proposed_contributor_id,score,match_type,flags,automated_action
9f070089-0441-4e8a-8188-eb3bb8db882f,can-depression-cause-physical-symptoms,liz-webb,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
3b4c1c45-7d20-4130-b539-6d4b9bda7dbd,how-can-i-stop-comparing-myself-to-others-on-social-media-g7h8i9,liz-webb,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
f9639ede-bead-4bbf-b0fc-452e0b6ca4fb,how-do-i-deal-with-cravings-in-recovery-186032-027,liz-webb,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
abeaa543-4bbd-426c-bb29-ef9ae763691b,how-do-i-deal-with-depression-when-im-unemployed,liz-webb,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
5d8b2f8d-f3ca-40fa-af8c-0b18cb6f8218,can-ai-make-health-anxiety-worse,amanda-gaines,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
95a3b5cd-9f3a-486a-8cba-da79dc0993d2,can-depression-be-inherited-im-worried-about-my-children,amanda-gaines,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
2a4e5d5d-3a21-4529-917a-bb4716cfb944,can-i-drink-alcohol-while-taking-psychia-181083-061,amanda-gaines,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
a1d61851-e37e-4cd4-9939-4c70b4eb78f2,can-stress-cause-ringing-in-my-ears-181083-009,amanda-gaines,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
8fb44658-98d9-4753-8505-7437e466eed0,how-do-i-come-out-when-im-not-sure-how-people-will-react,amanda-gaines,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
1348177b-adee-4a64-bb49-da919a49972d,how-do-i-deal-with-spiritual-bypassing-in-my-f8g3h6,susan-keenan,85,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
ffda7cfd-3b00-4a72-9dad-2b6e98a25bc2,is-it-normal-to-have-existential-thought-181083-046,susan-keenan,85,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
b90965ad-cbda-4862-b656-d0098e5ceb2e,what-if-i-dont-believe-in-god-or-a-higher-power-for-12-step-programs,susan-keenan,85,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
104a874b-b591-4860-9962-dd07950a3b56,can-ai-make-impostor-syndrome-worse,susan-keenan,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
5b0d8198-dec6-46e7-9327-ba47bf84f9fc,can-ai-make-relationship-anxiety-worse,susan-keenan,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
f31ad553-c198-45de-9dcc-ccfcd5c33ad0,can-trauma-affect-grief,sarah-evers,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
fd494471-5272-492e-a7fb-095b94f1d9b8,how-can-i-learn-to-love-myself,sarah-evers,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
a6702722-5a96-4e78-996d-10903f831306,how-do-i-break-up-with-someone-i-still-love,sarah-evers,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
f6d7d8b6-ccde-4c2c-bcd2-2b197ce9f673,how-do-i-communicate-better-with-my-part-186032-031,sarah-evers,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
1aff5be7-6dc5-427f-bb1b-b5b08e7411b8,how-do-i-deal-with-feeling-like-im-not-creative-184730-097,sarah-evers,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
