slug,decision,clinician_id,previous_clinician_id,rule_key,match_reasons,notes,locked
why-do-i-get-so-upset-when-things-dont-go-accordin-187459-014,approve,laura-hilsen,laura-hilsen,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
can-ai-griefbots-make-grief-harder-to-process,approve,lauren-sanders,lauren-sanders,exact_topic:grief-and-loss<<Grief,parent_theme:life-transitions-and-change via Cancer|exact_topic:grief-and-loss via Grief (w=1)|preferred_specialty_keyword:Grief,,true
how-do-i-communicate-better-with-my-teenager,approve,lauren-sanders,lauren-sanders,exact_topic:teens-and-identity<<Parenting,exact_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:Parenting|alt_topic:teens-and-identity via Child (w=0.7)|alias_keyword:Parenting|alias_keyword:adjustment,,true
how-do-i-cope-with-the-loss-of-a-pet,approve,lauren-sanders,lauren-sanders,exact_topic:grief-and-loss<<Grief,parent_theme:life-transitions-and-change via Cancer|exact_topic:grief-and-loss via Grief (w=1)|preferred_specialty_keyword:Grief,,true
can-ai-help-me-process-grief-or-trauma-189142-018,approve,lexi-cooper,lexi-cooper,exact_topic:trauma-and-safety<<Trauma,exact_topic:trauma-and-safety via Trauma (w=1)|preferred_specialty_keyword:Trauma,,true
is-it-normal-to-have-trust-issues-after-181083-089,approve,lexi-cooper,lexi-cooper,exact_topic:relationships-and-communication<<Familial Relationship Counseling,exact_topic:relationships-and-communication via Familial Relationship Counseling (w=1),,true
why-do-i-push-people-away-when-they-get-181083-091,approve,lexi-cooper,lexi-cooper,exact_topic:relationships-and-communication<<Familial Relationship Counseling,exact_topic:relationships-and-communication via Familial Relationship Counseling (w=1),,true
can-ai-make-doomscrolling-worse,approve,liz-webb,liz-webb,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
how-can-i-stop-comparing-myself-to-others-on-social-media-g7h8i9,approve,liz-webb,liz-webb,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
is-it-normal-to-feel-worse-before-i-feel-better-in-recovery,approve,liz-webb,liz-webb,exact_topic:addiction-and-recovery<<Substance Use,exact_topic:addiction-and-recovery via Substance Use (w=1)|preferred_specialty_keyword:Substance Use,,true
why-dont-i-feel-anything-anymore-even-about-things-i-used-to-care-about,approve,liz-webb,liz-webb,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|alias_keyword:stress|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
bring-up-hard-topic-without-starting-fight,approve,lynn-lane,lynn-lane,exact_topic:relationships-and-communication<<Relationship Counseling,exact_topic:relationships-and-communication via Relationship Counseling (w=1),,true
can-i-recover-without-going-to-meetings,approve,lynn-lane,lynn-lane,exact_topic:addiction-and-recovery<<Substance Abuse & Chemical Dependency,parent_theme:trauma-and-safety via PTSD|exact_topic:addiction-and-recovery via Substance Abuse & Chemical Dependency (w=1),,true
can-people-get-addicted-to-ai-chatbots-or-virtual--189142-001,approve,lynn-lane,lynn-lane,exact_topic:addiction-and-recovery<<Substance Abuse & Chemical Dependency,alias_keyword:stress|parent_theme:trauma-and-safety via PTSD|exact_topic:addiction-and-recovery via Substance Abuse & Chemical Dependency (w=1),,true
how-do-i-create-a-relapse-prevention-plan,approve,lynn-lane,lynn-lane,exact_topic:addiction-and-recovery<<Substance Abuse & Chemical Dependency,parent_theme:trauma-and-safety via PTSD|exact_topic:addiction-and-recovery via Substance Abuse & Chemical Dependency (w=1),,true
how-do-i-deal-with-fear-of-hell-after-le-181083-036,approve,lynn-lane,lynn-lane,exact_topic:meaning-faith-and-existential-questions<<Spiritual Issues,exact_topic:meaning-faith-and-existential-questions via Spiritual Issues (w=0.85),,true
how-do-i-handle-drug-testing-at-work-while-in-recovery,approve,lynn-lane,lynn-lane,exact_topic:addiction-and-recovery<<Substance Abuse & Chemical Dependency,parent_theme:trauma-and-safety via PTSD|exact_topic:addiction-and-recovery via Substance Abuse & Chemical Dependency (w=1),,true
how-do-i-support-a-friend-who-is-struggling-with-mental-health,approve,lynn-lane,lynn-lane,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
is-it-normal-to-grieve-the-loss-of-my-faith-like-a-death,approve,lynn-lane,lynn-lane,exact_topic:meaning-faith-and-existential-questions<<Spiritual Issues,alias_keyword:Grief|exact_topic:meaning-faith-and-existential-questions via Spiritual Issues (w=0.85),,true
what-if-my-loved-one-is-using-substances-while-pregnant,approve,lynn-lane,lynn-lane,exact_topic:addiction-and-recovery<<Substance Abuse & Chemical Dependency,parent_theme:trauma-and-safety via PTSD|exact_topic:addiction-and-recovery via Substance Abuse & Chemical Dependency (w=1),,true
what-should-i-do-if-i-caught-my-partner-cheating,approve,lynn-lane,lynn-lane,exact_topic:relationships-and-communication<<Relationship Counseling,exact_topic:relationships-and-communication via Relationship Counseling (w=1),,true
why-do-i-feel-like-life-has-no-meaning-or-purpose-v6w2x8,approve,lynn-lane,lynn-lane,exact_topic:meaning-faith-and-existential-questions<<Spiritual Issues,alias_keyword:Depression|exact_topic:meaning-faith-and-existential-questions via Spiritual Issues (w=0.85),,true
why-do-i-need-to-control-everything-and-everyone-a-187459-012,approve,lynn-lane,lynn-lane,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
am-i-losing-my-ability-to-connect-with-real-people-189142-008,approve,meredith-price,meredith-price,"exact_topic:anxiety-and-stress<<Pregnancy, Prenatal, Postpartum","exact_topic:anxiety-and-stress via Pregnancy, Prenatal, Postpartum (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Infertility (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Stress (w=1)",,true
can-stress-cause-back-and-neck-pain-181083-013,approve,meredith-price,meredith-price,"exact_topic:anxiety-and-stress<<Pregnancy, Prenatal, Postpartum","exact_topic:anxiety-and-stress via Pregnancy, Prenatal, Postpartum (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Infertility (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Stress (w=1)",,true
how-can-i-protect-my-children-from-conflict-between-me-and-my-ex,approve,meredith-price,meredith-price,"exact_topic:family-and-parenting<<Pregnancy, Prenatal, Postpartum","exact_topic:family-and-parenting via Pregnancy, Prenatal, Postpartum (w=0.7)|demoted_missing_keyword_support|exact_topic:family-and-parenting via Family Conflict (w=1)|alt_topic:family-and-parenting via Infertility (w=0.7)|demoted_missing_keyword_support|exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting",,true
how-do-i-cope-with-losing-someone-i-thought-id-have-forever,approve,meredith-price,meredith-price,exact_topic:grief-and-loss<<Grief,alias_keyword:divorce|exact_topic:grief-and-loss via Grief (w=1)|preferred_specialty_keyword:Grief,,true
how-do-i-deal-with-my-parents-divorce-186032-011,approve,meredith-price,meredith-price,exact_topic:teens-and-identity<<Family Conflict,"parent_theme:family-and-parenting via Pregnancy, Prenatal, Postpartum|alias_keyword:divorce|exact_topic:teens-and-identity via Family Conflict (w=0.7)|alias_keyword:Grief|alias_keyword:divorce|alt_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:divorce|alt_topic:teens-and-identity via School Issues (w=0.45)",,true
how-do-i-deal-with-postpartum-depression,approve,meredith-price,meredith-price,"exact_topic:depression<<Pregnancy, Prenatal, Postpartum","exact_topic:depression via Pregnancy, Prenatal, Postpartum (w=0.55)|alias_keyword:postpartum|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression|alt_topic:depression via Infertility (w=0.55)|alt_topic:depression via Mood Disorders (w=0.85)",,true
how-do-i-practice-mindful-eating,approve,meredith-price,meredith-price,exact_topic:identity-and-self-worth<<Self Esteem,alias_keyword:stress|alt_topic:identity-and-self-worth via Body Image (w=0.4)|alt_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1)|preferred_specialty_keyword:stress,,true
how-do-i-stop-overthinking-every-conversation-i-have,approve,meredith-price,meredith-price,"exact_topic:anxiety-and-stress<<Pregnancy, Prenatal, Postpartum","exact_topic:anxiety-and-stress via Pregnancy, Prenatal, Postpartum (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Infertility (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Stress (w=1)",,true
why-do-i-worry-about-things-that-havent-181288-006,approve,meredith-price,meredith-price,"exact_topic:anxiety-and-stress<<Pregnancy, Prenatal, Postpartum","exact_topic:anxiety-and-stress via Pregnancy, Prenatal, Postpartum (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Infertility (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Stress (w=1)",,true
are-there-specific-depression-challenges-for-lgbtq-individuals,approve,michaela-hilburn,michaela-hilburn,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|alias_keyword:stress|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
can-low-self-esteem-affect-relationships,approve,michaela-hilburn,michaela-hilburn,exact_topic:identity-and-self-worth<<Life Transitions,exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self-Compassion (w=1)|exact_topic:identity-and-self-worth via Self-Esteem (w=1)|preferred_specialty_keyword:Self Esteem,,true
how-do-i-cope-with-being-laid-off-due-to-ai-automation,approve,michaela-hilburn,michaela-hilburn,exact_topic:work-and-burnout<<Work/Life Balance,alias_keyword:Grief|alt_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,true
how-do-i-handle-guilt-and-shame-about-my-past-actions,approve,michaela-hilburn,michaela-hilburn,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|parent_theme:life-transitions-and-change via Grief and Loss|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:shame|alias_keyword:shame,,true
i-rehearse-conversations-in-my-head-for-hours-before-they-happen,approve,michaela-hilburn,michaela-hilburn,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
why-does-my-chest-feel-tight-when-im-anx-181083-001,approve,michaela-hilburn,michaela-hilburn,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
am-i-weak-if-i-need-medication-for-my-me-181083-055,approve,samantha-bryant,samantha-bryant,exact_topic:identity-and-self-worth<<Body Image,exact_topic:identity-and-self-worth via Body Image (w=0.4)|demoted_missing_keyword_support|exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1),,true
ask-for-reassurance-without-pushing-partner-away,approve,samantha-bryant,samantha-bryant,exact_topic:relationships-and-communication<<Codependency,parent_theme:relationships-and-connection via Bisexual|exact_topic:relationships-and-communication via Codependency (w=1)|exact_topic:relationships-and-communication via Marital and Premarital (w=1),,true
can-ai-help-me-practice-social-skills-before-real--189142-014,approve,samantha-bryant,samantha-bryant,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,true
can-religious-trauma-be-real-even-if-not-181083-042,approve,samantha-bryant,samantha-bryant,exact_topic:meaning-faith-and-existential-questions<<Spirituality,alias_keyword:shame|exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85)|alias_keyword:Trauma,,true
how-do-believers-make-sense-of-suffering-if-god-is-loving,approve,samantha-bryant,samantha-bryant,exact_topic:meaning-faith-and-existential-questions<<Spirituality,exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85),,true
how-do-i-cope-with-the-fear-that-death-means-compl-186602-026,approve,samantha-bryant,samantha-bryant,exact_topic:meaning-faith-and-existential-questions<<Spirituality,alias_keyword:Anxiety|exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85)|alias_keyword:Anxiety,,true
how-do-i-deal-with-existential-anxiety-about-s6t9u3,approve,samantha-bryant,samantha-bryant,exact_topic:meaning-faith-and-existential-questions<<Spirituality,alias_keyword:Anxiety|exact_topic:meaning-faith-and-existential-questions via Spirituality (w=0.85)|alias_keyword:Anxiety,,true
