answer_title,answer_slug,answer_url,answer_id,proposed_clinician_id,proposed_clinician_name,clinician_credentials,clinician_professional_title,verified_specialties,matched_specialty,deeper_topic,deeper_topic_name,deeper_category,deeper_theme,exact_match_reason,assignment_score,confidence,confidence_threshold_margin,match_type,other_eligible_clinicians,why_selected_won,reviewer_share_before_pct,reviewer_share_after_pct,sample_inclusion_reasons,ymyl_flag,human_qa_decision,human_qa_replacement_clinician_id,human_qa_notes
Can AI Make Intrusive Thoughts Worse?,can-ai-make-intrusive-thoughts-worse,https://www.deeper.global/answers/can-ai-make-intrusive-thoughts-worse/,ddd629ef-e12a-49c9-ab49-8ff93e4eca64,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Stress,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|amanda-gaines(topic_volume:14)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,alias_match|ymyl_ocd,no,approve,,
Can AI Make Me Feel Like My Creativity Does Not Matter?,can-ai-make-me-feel-like-my-creativity-does-not-matter,https://www.deeper.global/answers/can-ai-make-me-feel-like-my-creativity-does-not-matter/,ed688936-062f-4d4c-b76f-8720104fcd48,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Stress,identity-and-self-worth,Identity & Self-Worth,Identity & Self-Worth,identity-and-self-worth,alias_keyword:stress|alt_topic:identity-and-self-worth via Body Image (w=0.4)|alt_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1)|preferred_specialty_keyword:stress,100,high,20.00,exact_topic_plus_alias,michaela-hilburn(topic_volume:26)|meredith-price(topic_volume:25)|samantha-bryant(topic_volume:24)|laura-hilsen(topic_volume:23)|sarah-evers(topic_volume:23),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,alias_match|theme_identity-and-self-worth|broad_generalist_topic_cluster,no,approve,,
Can Using AI for Emotional Support Become Addictive?,can-using-ai-for-emotional-support-become-addictive,https://www.deeper.global/answers/can-using-ai-for-emotional-support-become-addictive/,ff370296-02ed-44c2-911c-626894387fe2,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Substance Use,addiction-and-recovery,Addiction & Recovery,Addiction & Recovery,trauma-and-safety,exact_topic:addiction-and-recovery via Addiction (w=1)|preferred_specialty_keyword:Addiction|exact_topic:addiction-and-recovery via Alcohol Use (w=1)|exact_topic:addiction-and-recovery via Drug Abuse (w=1)|exact_topic:addiction-and-recovery via Substance Use (w=1),100,high,20.00,exact_topic_plus_alias,lynn-lane(topic_volume:30)|susan-keenan(topic_volume:22)|liz-webb(topic_volume:20)|amanda-gaines(topic_volume:17),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,alias_match|ymyl_addiction|broad_generalist_topic_cluster,yes,approve,,
How to Create a Calming Environment at Home,how-can-i-create-a-calming-environment-at-home,https://www.deeper.global/answers/how-can-i-create-a-calming-environment-at-home/,1a6c77d0-1568-46a6-bbb6-0942dbd5d0b7,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Stress,general-mental-health,General Mental Health,General Mental Health,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:stress|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:adjustment|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:stress,86,high,6.00,exact_topic_plus_alias,laura-hilsen(topic_volume:8)|michaela-hilburn(topic_volume:2),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,every_clinician_lowest|top10_lowest|alias_match|theme_life-transitions-and-change,no,approve,,
Feeling Lost During a Major Life Transition,how-do-i-cope-with-feeling-lost-and-uncertain-duri-187459-019,https://www.deeper.global/answers/how-do-i-cope-with-feeling-lost-and-uncertain-duri-187459-019/,a402ef0e-9611-4c26-ae83-62281a56536f,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Stress,general-mental-health,General Mental Health,Life Transitions,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:stress|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:stress,86,high,6.00,exact_topic_plus_alias,laura-hilsen(topic_volume:8)|michaela-hilburn(topic_volume:2),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,alias_match|theme_life-transitions-and-change,no,approve,,
When People Do Not Support Your Life Changes,how-do-i-deal-with-people-who-dont-understand-or-s-187459-023,https://www.deeper.global/answers/how-do-i-deal-with-people-who-dont-understand-or-s-187459-023/,c1bb8f62-42a1-449b-bfc5-18fbc9099858,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Stress,general-mental-health,General Mental Health,Life Transitions,life-transitions-and-change,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:Anxiety|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:Anxiety,86,high,6.00,exact_topic_plus_alias,laura-hilsen(topic_volume:8)|michaela-hilburn(topic_volume:2),score=86; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,top10_extra|alias_match,no,approve,,
Eating Dinner Alone,is-it-pathetic-to-eat-dinner-alone-every-181083-072,https://www.deeper.global/answers/is-it-pathetic-to-eat-dinner-alone-every-181083-072/,4aaaa7ef-81ac-47b5-9ce5-b435da019ce6,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Self Esteem,identity-and-self-worth,Identity & Self-Worth,Identity & Self-Worth,identity-and-self-worth,exact_topic:identity-and-self-worth via Body Image (w=0.4)|demoted_missing_keyword_support|exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1),100,high,20.00,exact_topic,michaela-hilburn(topic_volume:26)|meredith-price(topic_volume:25)|samantha-bryant(topic_volume:24)|laura-hilsen(topic_volume:23)|sarah-evers(topic_volume:23),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,7.30,every_clinician_mid,no,approve,,
Throat Tightness When Stressed,why-does-my-throat-feel-tight-when-im-st-181083-008,https://www.deeper.global/answers/why-does-my-throat-feel-tight-when-im-st-181083-008/,953a3316-7290-4a8f-b3fc-f60b8871c37e,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Stress,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|amanda-gaines(topic_volume:14)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,7.30,every_clinician_highest,no,approve,,
How to Help Someone Who Thinks AI Is Sending Secret Messages,help-someone-believes-ai-is-sending-secret-messages,https://www.deeper.global/answers/help-someone-believes-ai-is-sending-secret-messages/,ea6f095f-7a38-41de-b9c3-bc5f9bf3dd9a,jeannine-jannot,"Jeannine Jannot, Ph.D.",Ph.D.,"Student, Parent, & Productivity Coach",School Issues|Parenting|Life Coaching|ADHD|Anxiety|Child|Coping Skills|Education and Learning Disabilities|Executive Functioning|Peer Relationships|Productivity Coaching|Self Esteem|Stress,Child,family-and-parenting,Family & Parenting,Family & Parenting,family-and-parenting,exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting|exact_topic:family-and-parenting via Child (w=1),100,high,20.00,exact_topic_plus_alias,susan-keenan(topic_volume:16)|kelsey-donahue(topic_volume:13)|meredith-price(topic_volume:9),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,1.69,alias_match|theme_family-and-parenting,no,approve,,
Helping Your Child Adjust to Divorce,how-can-i-help-my-child-adjust-to-our-divorce,https://www.deeper.global/answers/how-can-i-help-my-child-adjust-to-our-divorce/,84beb36e-68c1-4fae-b5ea-b04ebb2d5f47,jeannine-jannot,"Jeannine Jannot, Ph.D.",Ph.D.,"Student, Parent, & Productivity Coach",School Issues|Parenting|Life Coaching|ADHD|Anxiety|Child|Coping Skills|Education and Learning Disabilities|Executive Functioning|Peer Relationships|Productivity Coaching|Self Esteem|Stress,Child,family-and-parenting,Family & Parenting,Family & Parenting,family-and-parenting,exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting|exact_topic:family-and-parenting via Child (w=1),100,high,20.00,exact_topic_plus_alias,susan-keenan(topic_volume:16)|kelsey-donahue(topic_volume:13)|meredith-price(topic_volume:9),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,1.69,alias_match|theme_family-and-parenting,no,approve,,
