answer_id,answer_slug,reviewed_by,topic,reviewed_at,accurate_public_label,notes
852d1d45-da98-43ba-af11-6c1d9726cb02,how-do-i-find-meaning-after-losing-my-re-181083-034,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
8a5ab9f8-1ece-4d05-920a-9770676a3d14,how-do-i-find-meaning-in-life-when-everything-feel-186602-024,rick-julian,Spiritual Struggle / Existential Crisis,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
ecb5d407-82a4-4886-bef1-a1430a963043,how-do-i-find-meaning-in-life-when-traditional-c7d2e8,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
bec01dea-06e3-4d6d-9cc3-e43366d1c9a0,how-do-i-find-meaning-when-i-no-longer-believe-what-i-was-taught,rick-julian,Spiritual Doubt,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
513c7c36-36e8-4d05-812c-0c6bba7812c3,how-do-i-find-motivation-when-im-depressed-z8a9b1,alex-crenshaw-phd,Depression,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
d64f585a-8891-4cf9-935d-e1ff15ff4df8,how-do-i-find-my-purpose-when-nothing-feels-meaningful-anymore,rick-julian,Life Purpose,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
50f0e4d6-8ac6-4a7c-84fe-f5de1e3f89a1,how-do-i-function-when-anxiety-makes-everything-feel-overwhelming,alex-crenshaw-phd,Anxiety & Worry,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
b150e12f-4722-4db8-aab6-87a9bc812e95,how-do-i-get-tested-for-adhd-as-an-adult,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
0ce9cb9f-970c-4da7-8f58-822cc06f00d3,how-do-i-handle-family-rejection-after-changing-my-186602-028,rick-julian,Spiritual Struggle / Existential Crisis,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
2b13fdd5-5866-4d20-8652-531196f560c4,how-do-i-handle-religious-holidays-after-181083-038,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
231c788c-8e19-4920-99aa-5b91d337fff6,how-do-i-know-if-i-have-adhd-as-an-adult,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
fec108b9-dcff-488a-bd1e-606b6e0a6017,how-do-i-know-if-my-spiritual-experiences-are-p5q9r3,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
f4636fef-d434-48f7-809e-718d0ee9dd25,how-do-i-make-new-friends-after-leaving-my-church,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
02ec3dd4-2aae-46bc-9ab2-6c638362c103,how-do-i-manage-adhd-burnout,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
eec13b56-1408-4fd8-b708-d43874b6970f,how-do-i-manage-adhd-in-relationships,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
ae0ec078-bf9d-498f-958c-ff97a60e2189,how-do-i-manage-adhd-without-medication,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
d0cf0395-3d82-46e6-a0eb-945c14d70ad7,how-do-i-respect-my-familys-faith-while-i-no-longer-believe,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
9c4d3e75-9d3d-4d9b-8d65-de8c3163f858,how-do-i-stay-focused-at-work-with-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
66514680-6230-4b30-b89a-e3a2dbd1101e,how-do-i-stop-feeling-overwhelmed-by-everything,alex-crenshaw-phd,General Mental Health,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
cde08a3a-547c-416b-81d5-2053a9b8ec82,how-do-i-stop-forgetting-things-with-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
94f631d0-c9f4-467b-9fd0-4363513d77ce,how-do-i-stop-procrastinating-when-im-afraid-of-no-187459-013,alex-crenshaw-phd,Perfectionism & Control Issues,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
3c07024f-f076-4c52-93b2-15e38b682927,how-do-i-study-with-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
024bb81c-1c5e-4433-a07b-0c66153c5356,how-do-i-tell-my-partner-im-no-longer-religious,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
650addc1-1202-4518-b5bf-1ee480586cf0,is-hyperfocus-a-symptom-of-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
b6a8042a-7658-4a8a-8cb2-4b245bfac742,is-it-normal-to-feel-angry-at-god-or-rel-181083-033,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
bc4b3722-2b1a-4f6b-b5a5-45c1cb0f8684,is-it-normal-to-miss-aspects-of-my-old-f-181083-040,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
17289bbf-d035-4246-af5e-0f49de277d38,is-it-okay-if-i-never-find-a-single-life-purpose,rick-julian,Life Purpose,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
741188a5-d594-4a63-b7d1-49024a1d8cd3,what-are-the-signs-of-adhd-in-women,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
0f3eeced-fa24-41a9-892e-1b5c0e20f23e,what-does-it-mean-if-i-feel-more-connected-to-z5a2b7,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
a7411ed6-6b50-450a-8742-8e8b3f8c01a3,what-does-it-mean-if-i-feel-more-spiritual-in-n2o5p8,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
cf9ad1bf-2729-4f94-8380-a66606c60e1a,what-does-it-mean-to-have-a-spiritual-awakening-j3k6l9,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
14c1ff56-bfbc-4f20-9ac5-6aab1adf534d,what-do-i-do-when-i-feel-like-giving-up-on-m-177941-012,rick-julian,Life Purpose,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
07a7cb65-cb71-4481-a169-ebb3779eefe6,what-do-i-do-when-im-losing-faith-in-everything-i--186602-023,rick-julian,Spiritual Struggle / Existential Crisis,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
fa23a887-2d93-451c-9743-9b80b0374672,what-do-i-do-when-my-family-rejects-me-f-181083-032,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
2b5cad95-f934-439b-953b-2493b7479c95,what-do-i-do-when-prayer-or-meditation-no-longer-b-186602-027,rick-julian,Spiritual Struggle / Existential Crisis,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
5c00d051-cbe2-48db-9701-73795f50f177,what-is-adhd-and-how-is-it-different-from-just-being-distracted,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
ae6926f8-377d-4d8b-839f-900032e74225,what-is-executive-dysfunction-and-how-does-it-affect-daily-life,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
1717a295-3abb-4d3b-931f-1c54e4eceb80,what-is-existentialism-and-can-it-help-when-life-feels-meaningless,rick-julian,Existential,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
4c6f3d02-80e2-4254-b5d2-0a25f5a52743,what-is-faith-deconstruction-and-how-is-it-different-from-a-crisis-of-faith,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
cbf65e92-e32d-4fe8-84a9-aea5cf2e32fe,what-is-rejection-sensitive-dysphoria-and-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
a69457b9-4a8f-4915-98c3-a2198999234e,what-is-the-difference-between-adhd-and-bipolar-disorder,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
9e906cde-75e9-4331-b5a2-d609dd2019ef,what-should-couples-expect-from-a-pre-therapy-consultation-call,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
948f98e5-c43e-4ad3-9d2d-8e912ebfe54b,what-should-i-tell-my-partner-about-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
a4bbf53f-251f-48bd-ba84-f5113855e920,what-workplace-accommodations-help-adults-with-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
002a339f-4cb0-49b4-87e9-ced4cd7fc74e,when-is-imago-relationship-therapy-a-good-fit-for-couples,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
a815d40a-ce6f-412e-81c7-f97f9b2eef34,why-am-i-losing-faith-in-everything-i-used-to-believe,rick-julian,Spiritual Doubt,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
26907f56-4235-40ca-81f3-18bf30d800e2,why-am-i-questioning-all-my-beliefs-in-midlife,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
43c16114-4810-4d28-ab96-0925a95931d8,why-do-capable-couples-keep-reenacting-the-same-relationship-fight,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
492f8b2a-fbcf-4b43-81e7-d8a5413dd855,why-do-communication-skills-fail-when-we-are-upset-with-our-partner,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
ca11f294-282c-4dc4-bfe2-e6297062f033,why-does-achieving-my-goals-leave-me-feeling-empty,rick-julian,Existential,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
a399c373-9363-4999-aaec-e3bc805b4203,why-does-couples-therapy-sometimes-feel-like-refereeing-not-change,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
3815201e-7a8d-401f-8393-5204561029af,why-doesnt-understanding-our-patterns-fix-our-relationship,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
d8c4ea75-b7f8-4e22-9c1f-fa6cb5ef230e,why-do-i-feel-empty-even-when-my-life-looks-177941-018,rick-julian,Existential,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
b0b93a22-fe0b-4204-9cbe-6ba72d6462bd,why-do-i-feel-guilty-for-questioning-my-religious--186602-025,rick-julian,Spiritual Struggle / Existential Crisis,2026-06-22,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
b7d9dd9a-8391-46e6-a5d2-7889c1f37a84,why-do-i-feel-like-i-cant-handle-normal-adult-184730-088,alex-crenshaw-phd,Identity & Self-Worth,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
79c07f75-3e41-4d26-8f56-0a2a41ee6ed7,why-do-i-feel-like-i-dont-fit-into-any-spiritual-h4i7j1,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
7cc5dd5f-47b8-472e-8c35-da90cafe0170,why-do-i-feel-like-i-need-to-constantly-prove-y2z6a1,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
d548a38c-5e54-43fc-806a-3ab9f6268db6,why-do-i-feel-lost-without-religious-com-181083-039,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
0aef7211-890d-427b-a6f4-2926878d2747,why-do-i-feel-overwhelmed-by-simple-dail-190648-007,alex-crenshaw-phd,Anxiety & Stress,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
8d5113b2-5287-4fe6-a353-a8375a1b3088,why-do-i-feel-spiritually-empty-despite-having-n8o2p5,rick-julian,Existential,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
8a6da00f-4505-49ce-9c94-d966b89bd0ec,why-do-i-get-so-emotionally-overwhelmed-with-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
